"","estimation_error","taskisclosed","activityafterdays","class"
"1",0,8,0,"good"
"2",0,8,0,"good"
"3",0,8,0,"good"
"4",0,8,0,"good"
"5",0,9,0,"good"
"6",0,9,0,"good"
"7",0,12,0,"good"
"8",0,12,0,"good"
"9",0,12,0,"good"
"10",0,12,0,"good"
"11",0,9,0,"good"
"12",0,9,0,"good"
"13",0,12,0,"good"
"14",0,12,0,"good"
"15",0,14,0,"medium"
"16",0,14,0,"medium"
"17",0,13,0,"medium"
"18",0,13,0,"medium"
"19",0,13,0,"medium"
"20",0,13,0,"medium"
"21",0,12,0,"good"
"22",0,12,0,"good"
"23",0,13,0,"medium"
"24",0,13,0,"medium"
"25",0,14,0,"medium"
"26",0,14,0,"medium"
"27",0,14,0,"medium"
"28",0,14,0,"medium"
"29",0,14,0,"medium"
"30",0,14,0,"medium"
"31",0,8,0,"good"
"32",0,8,0,"good"
"33",0,9,0,"good"
"34",0,9,0,"good"
"35",0,12,0,"good"
"36",0,12,0,"good"
"37",0,13,0,"medium"
"38",0,14,0,"medium"
"39",0,14,0,"medium"
"40",0,14,0,"medium"
"41",0,14,1,"medium"
"42",0,0,0,"good"
"43",0,0,0,"good"
"44",0,0,0,"good"
"45",0,0,0,"good"
"46",0,0,0,"good"
"47",0,0,0,"good"
"48",0,0,0,"good"
"49",0,0,0,"good"
"50",0,0,0,"good"
"51",0,0,0,"good"
"52",0,0,0,"good"
"53",0,0,0,"good"
"54",0,0,0,"good"
"55",0,0,1,"good"
"56",0,3,0,"good"
"57",0,3,0,"good"
"58",0,3,0,"good"
"59",0,3,0,"good"
"60",0,3,0,"good"
"61",0,3,0,"good"
"62",0,3,0,"good"
"63",0,3,0,"good"
"64",0,3,2,"good"
"65",0,3,0,"good"
"66",0,3,0,"good"
"67",0,3,0,"good"
"68",0,3,0,"good"
"69",0,1,0,"good"
"70",0,1,0,"good"
"71",0,3,0,"good"
"72",0,3,0,"good"
"73",0,1,0,"good"
"74",0,1,0,"good"
"75",0,1,0,"good"
"76",0,1,1,"good"
"77",0,3,0,"good"
"78",0,1,0,"good"
"79",0,1,0,"good"
"80",0,1,0,"good"
"81",0,1,2,"good"
"82",3,5,0,"good"
"83",3,5,0,"good"
"84",0,1,0,"good"
"85",0,1,0,"good"
"86",0,3,0,"good"
"87",0,3,0,"good"
"88",0,1,0,"good"
"89",0,3,0,"good"
"90",0,1,0,"good"
"91",0,1,0,"good"
"92",0,1,0,"good"
"93",0,1,0,"good"
"94",0,3,0,"good"
"95",0,3,0,"good"
"96",0,1,0,"good"
"97",0,1,0,"good"
"98",0,1,0,"good"
"99",0,1,0,"good"
"100",0,14,0,"medium"
"101",0,14,0,"medium"
"102",0,14,0,"medium"
"103",0,14,0,"medium"
"104",0,14,0,"medium"
"105",0,14,0,"medium"
"106",0,14,0,"medium"
"107",0,14,0,"medium"
"108",0,14,0,"medium"
"109",0,14,0,"medium"
"110",0,12,0,"good"
"111",0,12,0,"good"
"112",0,12,0,"good"
"113",0,12,0,"good"
"114",0,13,0,"medium"
"115",0,13,0,"medium"
"116",0,0,0,"good"
"117",0,0,0,"good"
"118",0,0,0,"good"
"119",0,0,0,"good"
"120",0,0,0,"good"
"121",0,0,0,"good"
"122",0,0,0,"good"
"123",0,0,0,"good"
"124",0,0,0,"good"
"125",0,0,0,"good"
"126",0,0,0,"good"
"127",0,0,0,"good"
"128",0,1,0,"good"
"129",0,0,0,"good"
"130",0,0,0,"good"
"131",0,0,0,"good"
"132",0,0,0,"good"
"133",0,1,0,"good"
"134",0,3,1,"good"
"135",3,5,4,"good"
"136",3,5,0,"good"
"137",3,5,0,"good"
"138",3,5,1,"good"
"139",0,1,0,"good"
"140",0,1,0,"good"
"141",0,2,0,"good"
"142",0,2,0,"good"
"143",0,2,0,"good"
"144",0,2,1,"good"
"145",0,1,0,"good"
"146",0,1,0,"good"
"147",0,2,0,"good"
"148",0,2,0,"good"
"149",0,2,0,"good"
"150",0,2,0,"good"
"151",0,5,0,"good"
"152",0,5,0,"good"
"153",0,5,0,"good"
"154",0,5,2,"good"
"155",0,5,0,"good"
"156",0,5,0,"good"
"157",0,4,0,"good"
"158",0,4,0,"good"
"159",0,4,0,"good"
"160",0,5,0,"good"
"161",0,5,0,"good"
"162",0,5,3,"good"
"163",0,5,0,"good"
"164",0,5,0,"good"
"165",0,5,0,"good"
"166",0,4,0,"good"
"167",0,4,0,"good"
"168",0,5,0,"good"
"169",0,5,0,"good"
"170",0,5,0,"good"
"171",0,5,0,"good"
"172",0,2,0,"good"
"173",0,2,0,"good"
"174",0,2,0,"good"
"175",0,2,0,"good"
"176",0,1,0,"good"
"177",0,1,0,"good"
"178",0,14,0,"medium"
"179",0,14,0,"medium"
"180",0,2,0,"good"
"181",0,2,0,"good"
"182",0,2,0,"good"
"183",0,2,0,"good"
"184",0,1,0,"good"
"185",0,1,0,"good"
"186",0,1,0,"good"
"187",0,1,0,"good"
"188",0,13,0,"medium"
"189",0,13,0,"medium"
"190",0,13,0,"medium"
"191",0,13,0,"medium"
"192",0,12,0,"good"
"193",0,12,0,"good"
"194",0,12,0,"good"
"195",0,12,0,"good"
"196",0,9,0,"good"
"197",0,9,0,"good"
"198",0,9,0,"good"
"199",0,9,0,"good"
"200",0,8,0,"good"
"201",0,8,0,"good"
"202",0,8,0,"good"
"203",0,8,0,"good"
"204",0,14,0,"medium"
"205",0,14,0,"medium"
"206",0,14,0,"medium"
"207",0,14,0,"medium"
"208",0,13,0,"medium"
"209",0,13,0,"medium"
"210",0,14,0,"medium"
"211",0,14,0,"medium"
"212",0,12,0,"good"
"213",0,12,0,"good"
"214",0,12,0,"good"
"215",0,12,0,"good"
"216",0,1,0,"good"
"217",0,1,0,"good"
"218",0,1,0,"good"
"219",0,1,0,"good"
"220",0,1,1,"good"
"221",0,2,0,"good"
"222",0,2,0,"good"
"223",0,2,0,"good"
"224",0,5,0,"good"
"225",0,5,0,"good"
"226",0,5,0,"good"
"227",0,5,0,"good"
"228",0,2,0,"good"
"229",0,2,0,"good"
"230",0,2,0,"good"
"231",0,2,0,"good"
"232",0,4,0,"good"
"233",0,4,0,"good"
"234",0,5,0,"good"
"235",0,5,1,"good"
"236",0,12,0,"good"
"237",0,12,0,"good"
"238",0,12,0,"good"
"239",0,12,0,"good"
"240",0,14,0,"medium"
"241",0,14,0,"medium"
"242",0,13,0,"medium"
"243",0,13,0,"medium"
"244",0,14,0,"medium"
"245",0,14,0,"medium"
"246",0,14,0,"medium"
"247",0,14,0,"medium"
"248",0,8,0,"good"
"249",0,8,0,"good"
"250",0,8,0,"good"
"251",0,8,0,"good"
"252",0,9,0,"good"
"253",0,9,0,"good"
"254",0,9,0,"good"
"255",0,9,0,"good"
"256",0,12,0,"good"
"257",0,12,0,"good"
"258",0,12,0,"good"
"259",0,12,0,"good"
"260",0,13,0,"medium"
"261",0,13,0,"medium"
"262",0,13,0,"medium"
"263",0,13,0,"medium"
"264",0,1,0,"good"
"265",0,1,0,"good"
"266",0,1,0,"good"
"267",0,1,0,"good"
"268",0,2,0,"good"
"269",0,2,0,"good"
"270",0,2,0,"good"
"271",0,2,0,"good"
"272",0,14,0,"medium"
"273",0,14,0,"medium"
"274",0,4,0,"good"
"275",0,4,0,"good"
"276",0,5,0,"good"
"277",0,5,0,"good"
"278",0,2,0,"good"
"279",0,2,0,"good"
"280",0,2,0,"good"
"281",0,2,0,"good"
"282",0,5,0,"good"
"283",0,5,0,"good"
"284",0,5,0,"good"
"285",0,5,0,"good"
"286",0,5,0,"good"
"287",0,5,0,"good"
"288",0,2,0,"good"
"289",0,2,0,"good"
"290",0,2,0,"good"
"291",0,2,0,"good"
"292",0,2,0,"good"
"293",0,2,0,"good"
"294",0,2,0,"good"
"295",0,2,1,"good"
"296",0,2,0,"good"
"297",0,2,0,"good"
"298",0,5,0,"good"
"299",0,5,0,"good"
"300",0,5,0,"good"
"301",0,5,0,"good"
"302",0,5,0,"good"
"303",0,5,0,"good"
"304",0,2,0,"good"
"305",0,2,0,"good"
"306",0,2,0,"good"
"307",0,2,0,"good"
"308",0,5,0,"good"
"309",0,5,0,"good"
"310",0,4,0,"good"
"311",0,4,0,"good"
"312",0,14,0,"medium"
"313",0,14,0,"medium"
